iter	F1	Logloss
0	0.8330618519	0.5825090532
1	0.8340054217	0.4916356797
2	0.8369318154	0.421239095
3	0.8360617088	0.3670276349
4	0.8366789622	0.3234113827
5	0.8366555401	0.2893167645
6	0.8362321097	0.2641365565
7	0.8500698607	0.2436453505
8	0.8499507651	0.2269328384
9	0.8499875909	0.21202716
10	0.8500033078	0.200843449
11	0.8493594153	0.1910091386
12	0.8494224697	0.1832678389
13	0.8492598572	0.1766715795
14	0.849261176	0.1711465879
15	0.8495707643	0.1661752865
16	0.8495926397	0.1619599974
17	0.8495707176	0.158688001
18	0.8494681252	0.1556041793
19	0.8499776485	0.1527751845
20	0.8499767895	0.1505854226
21	0.8502782344	0.1483618999
22	0.8526271484	0.1465690385
23	0.8528218458	0.1450507859
24	0.8507780933	0.1435111343
25	0.8519064948	0.1423346234
26	0.8519149871	0.1411719166
27	0.853861581	0.1401431007
28	0.8536216262	0.1389611174
29	0.8534534941	0.1382099846
30	0.8526959772	0.1374277743
31	0.8550483906	0.1365470386
32	0.8558011034	0.1357674761
33	0.8563849506	0.134361891
34	0.8555861237	0.1336818506
35	0.8558691731	0.1332667294
36	0.8556971684	0.1326599345
37	0.8577265909	0.1314579022
38	0.8575540185	0.1310406112
39	0.8580354855	0.1304250121
40	0.858361641	0.1291225143
41	0.8590662788	0.1287622077
42	0.859270015	0.1280611266
43	0.8599251137	0.1271276132
44	0.8598710254	0.1265770812
45	0.8600425368	0.1259892443
46	0.8607535492	0.1257498331
47	0.862715995	0.1248425717
48	0.8647234867	0.1231584247
49	0.8650910434	0.122203052
50	0.8694646589	0.1205630613
51	0.8697280042	0.1201713937
52	0.869678851	0.1200718374
53	0.8706334341	0.1190810817
54	0.8707144821	0.1189186015
55	0.8702553699	0.1184423242
56	0.8776173731	0.1177785981
57	0.8801582267	0.1171826885
58	0.8805966689	0.1170640524
59	0.8808750357	0.1168928715
60	0.8811467079	0.1166737292
61	0.8814967433	0.1159375189
62	0.881875023	0.1150152232
63	0.8817912103	0.1149049797
64	0.8813185058	0.1137826856
65	0.8856391786	0.1128874142
66	0.8860750453	0.1115671113
67	0.889289299	0.1105877977
68	0.8918182863	0.1094560452
69	0.8916850904	0.1090693862
70	0.8917294555	0.1086987201
71	0.8918022426	0.1085903678
72	0.8925217691	0.1079070818
73	0.8924698676	0.107780225
74	0.8927380943	0.1076598749
75	0.8929188397	0.1074764183
76	0.8942433184	0.1068420306
77	0.900321646	0.1062187403
78	0.9003129492	0.1059241852
79	0.9001296115	0.105798333
80	0.9013898067	0.1049940102
81	0.9016462981	0.1044447012
82	0.9018841687	0.103909588
83	0.901784584	0.103724949
84	0.9021649482	0.1030524982
85	0.9019033135	0.1029406152
86	0.9018568598	0.1026999752
87	0.902945462	0.1019822861
88	0.9030734385	0.1015286282
89	0.9033312664	0.101031709
90	0.9035069356	0.1008674697
91	0.9036252546	0.1007182045
92	0.9039066936	0.1000177611
93	0.9040270021	0.09944717091
94	0.9045801297	0.09903025926
95	0.9046387807	0.09889658431
96	0.904847687	0.09849890653
97	0.9048253671	0.09839143218
98	0.90495838	0.0982489944
99	0.9053418329	0.09793469368
100	0.9055211201	0.09758315201
101	0.9055641447	0.09748432781
102	0.9054881007	0.09737477574
103	0.9056698073	0.09723785784
104	0.9061983058	0.0967391965
105	0.9082417735	0.09624221724
106	0.9078056744	0.09592957535
107	0.9086408076	0.09538866905
108	0.9086947143	0.0952967757
109	0.9129917898	0.09475214435
110	0.9130332019	0.09444386879
111	0.9131893812	0.09432008835
112	0.9134076685	0.09398203561
113	0.9134852635	0.09392089903
114	0.9133825941	0.09382823019
115	0.9134506722	0.09375500813
116	0.9151182249	0.09306692713
117	0.9154908187	0.09274194695
118	0.9162724762	0.09236305662
119	0.9165971827	0.09201302216
120	0.9168078423	0.09173717725
121	0.9173519476	0.09139314944
122	0.9175093586	0.09131132327
123	0.9175830506	0.09096944429
124	0.91754091	0.09090748113
125	0.9176668219	0.09081528363
126	0.9175688474	0.09051958819
127	0.9175819208	0.09021517076
128	0.9176840089	0.0898217541
129	0.9179443401	0.0894524494
130	0.9183211136	0.08924488471
131	0.9184370622	0.08857484946
132	0.9182950642	0.08844648358
133	0.9185148465	0.08836948323
134	0.9187854662	0.08775759774
135	0.9187537859	0.08767808672
136	0.9186317889	0.087586137
137	0.9186789932	0.08755165973
138	0.9186451621	0.08749295688
139	0.9188348892	0.08743999914
140	0.9188617681	0.08738949641
141	0.9190117358	0.08722604272
142	0.9189450547	0.08717648095
143	0.9193276881	0.08666348127
144	0.9192617864	0.08659013482
145	0.9192645161	0.0865420806
146	0.9196484992	0.08632475764
147	0.9197352095	0.0861798553
148	0.9200593597	0.08588306184
149	0.9201805679	0.08581045669
150	0.9203656677	0.08567458269
151	0.920548576	0.08549645568
152	0.9207685534	0.0851785657
153	0.921088686	0.08485057989
154	0.921316482	0.08467382101
155	0.9213780193	0.08446458651
156	0.921460552	0.08442121991
157	0.9217919068	0.08433519658
158	0.9220567602	0.08400146037
159	0.9220988714	0.0833050996
160	0.9224220454	0.08310859096
161	0.922505628	0.08305370564
162	0.9225005634	0.08299744559
163	0.9228475793	0.0826101102
164	0.9229599694	0.08231128699
165	0.9229457224	0.08219421876
166	0.9228408444	0.08211908703
167	0.9231244856	0.0820022416
168	0.9231175531	0.08195242006
169	0.9231406642	0.0818246945
170	0.9232177981	0.08176490345
171	0.9234395395	0.08153798099
172	0.9235348273	0.08145447562
173	0.9237592356	0.08126921739
174	0.9237201816	0.08120544707
175	0.9239832422	0.08104608491
176	0.923975011	0.08101148191
177	0.9242091237	0.08088299759
178	0.9243933557	0.08068255404
179	0.9244134691	0.08062211272
180	0.9246345919	0.080483343
181	0.9248965576	0.08027000144
182	0.9249861681	0.08011987734
183	0.9251117098	0.07993170994
184	0.9251974729	0.07988532498
185	0.9254833402	0.07961341024
186	0.9256125732	0.07953222517
187	0.925715877	0.07936893727
188	0.9257148799	0.07931185375
189	0.9259626495	0.07920256754
190	0.9259672494	0.0791650267
191	0.9260870324	0.07904358257
192	0.926354549	0.0787447877
193	0.9265361418	0.07847380697
194	0.9266806081	0.07833481125
195	0.9267026005	0.07828591133
196	0.9268864585	0.07816397417
197	0.9270680512	0.07802839976
198	0.9270738524	0.0779966033
199	0.9274080303	0.07778676782
200	0.9274416938	0.07773983496
201	0.9275265522	0.07769877163
202	0.9276311271	0.07758415141
203	0.9276606811	0.07755735415
204	0.9276495463	0.07750971346
205	0.9279103139	0.07709267849
206	0.9282075806	0.07691316395
207	0.9283897505	0.07675327969
208	0.9284177363	0.07665843347
209	0.92859087	0.07640532889
210	0.9286307216	0.07632637232
211	0.9289257488	0.07622726208
212	0.9289672776	0.07618856206
213	0.9292492095	0.07596089167
214	0.9292750779	0.07590827609
215	0.9293878187	0.07580435039
216	0.9297244931	0.07544178414
217	0.9299562969	0.07526697431
218	0.9299221644	0.07523569511
219	0.9299479384	0.07519754354
220	0.9299310062	0.0751757591
221	0.9300413014	0.07506985886
222	0.9300467006	0.0750230272
223	0.9304435505	0.07484955811
224	0.9304937766	0.07469488188
225	0.9307051261	0.07462634817
226	0.9311773399	0.07422548709
227	0.9314225673	0.07407975825
228	0.9314284799	0.07404238215
229	0.9314456523	0.07399360249
230	0.9315562406	0.07392766151
231	0.9316025363	0.07389019399
232	0.9317958173	0.07372995359
233	0.9320216344	0.07344366129
234	0.9320514048	0.07341008474
235	0.9320875969	0.07337672357
236	0.9321593518	0.07331281595
237	0.9326332832	0.07314203279
238	0.9327495129	0.07297773578
239	0.9328040488	0.07292941459
240	0.9328769412	0.07289696179
241	0.9333169076	0.07264471623
242	0.9333437731	0.07261570588
243	0.933329343	0.07259516528
244	0.9334095157	0.0725260444
245	0.9335160211	0.07243483671
246	0.9336883389	0.07223013635
247	0.933774581	0.07218823216
248	0.933798564	0.07214595082
249	0.9337929268	0.07212630573
250	0.9338317648	0.07208744072
251	0.9339253975	0.07200129231
252	0.934015478	0.07194790211
253	0.9340541601	0.07192978568
254	0.9340954358	0.07189231356
255	0.9342557785	0.07179383709
256	0.9343276324	0.07175014488
257	0.9343822435	0.07171668813
258	0.9344735587	0.07161466696
259	0.9345573867	0.07153625888
260	0.9345965056	0.07149563276
261	0.9346940067	0.07139912094
262	0.9347188304	0.07129083753
263	0.9349765869	0.07112432149
264	0.935220182	0.07089341883
265	0.9352309485	0.07086124152
266	0.9352407282	0.07082707525
267	0.9354168347	0.07070307053
268	0.9354529985	0.0706383007
269	0.9355744166	0.07053442315
