iter	Passed	Remaining
0	1567	781943
1	2860	712308
2	4122	682936
3	4944	613061
4	5765	570772
5	6688	550688
6	7589	534512
7	8355	513871
8	9134	498358
9	10196	499644
10	11046	491047
11	12352	502333
12	13330	499391
13	14523	504156
14	15239	492734
15	16470	498221
16	17876	507913
17	19446	520732
18	20465	518105
19	21628	519075
20	22855	521320
21	23895	519177
22	24989	518258
23	26368	522972
24	27568	523797
25	28707	523353
26	29854	523007
27	31207	526077
28	32343	525296
29	33512	525034
30	34868	527522
31	36044	527152
32	37072	524635
33	38238	524097
34	39461	524279
35	40537	522480
36	41256	516257
37	42232	513462
38	43383	512812
39	44398	510587
40	45524	509649
41	46670	508935
42	47707	507032
43	48897	506758
44	50077	506338
45	51369	506997
46	52528	506282
47	53585	504596
48	54749	503916
49	55712	501415
50	56785	499934
51	58231	501685
52	59742	503863
53	60952	503421
54	62156	502903
55	63132	500547
56	64165	498690
57	65589	499834
58	66733	498802
59	67735	496726
60	69256	498418
61	70312	496726
62	71320	494711
63	72456	493610
64	73709	493286
65	74849	492189
66	75835	490100
67	77118	489931
68	78632	491167
69	79792	490154
70	80982	489319
71	82103	488059
72	83269	487068
73	84402	485887
74	85524	484638
75	86664	483498
76	87795	482305
77	88914	481051
78	90036	479815
79	91033	477927
80	92049	476157
81	93183	475008
82	94626	475413
83	95863	474752
84	97199	474562
85	98130	472396
86	99288	471336
87	100368	469909
88	101371	468130
89	102457	466749
90	103484	465110
91	104271	462422
92	105394	461240
93	106792	461253
94	107976	460319
95	109263	459818
96	110325	458362
97	111071	455621
98	112366	455141
99	113513	454055
100	114710	453162
101	115819	451922
102	116872	450469
103	118018	449377
104	119297	448786
105	120303	447166
106	121552	446450
107	122493	444604
108	123289	442260
109	124523	441493
110	125556	440012
111	126757	439124
112	127829	437788
113	128710	435809
114	129724	434295
115	130904	433338
116	131925	431858
117	132886	430191
118	133966	428919
119	135095	427800
120	136234	426717
121	137695	426629
122	138697	425113
123	139771	423822
124	140967	422901
125	142064	421682
126	143146	420421
127	144261	419261
128	145357	418044
129	146356	416552
130	147535	415576
131	148984	415351
132	150070	414105
133	151013	412470
134	152279	411719
135	153402	410577
136	154440	409211
137	155260	407276
138	156344	406045
139	157332	404568
140	158432	403385
141	159695	402611
142	160649	401061
143	161723	399816
144	162664	398248
145	163394	396174
146	164480	394977
147	165650	393980
148	166884	393130
149	168060	392141
150	169144	390937
151	170439	390216
152	171386	388701
153	172588	387764
154	173803	386852
155	174884	385642
156	175949	384399
157	176819	382735
158	177782	381282
159	178911	380186
160	180186	379399
161	181433	378545
162	182822	377982
163	183908	376787
164	185071	375752
165	186152	374547
166	187148	373176
167	188236	371990
168	189488	371128
169	190499	369793
170	191596	368627
171	192637	367355
172	193712	366150
173	194926	365207
174	196438	364813
175	197983	364470
176	199120	363367
177	200132	362037
178	201391	361154
179	202532	360057
180	203466	358596
181	204527	357361
182	205570	356097
183	206917	355357
184	208073	354287
185	209154	353089
186	210321	352035
187	211322	350706
188	212416	349531
189	213586	348484
190	214539	347081
191	215842	346247
192	217100	345336
193	218217	344198
194	219396	343158
195	220404	341851
196	221300	340376
197	222313	339083
198	223350	337832
199	224534	336801
200	225725	335780
201	226824	334622
202	227636	333044
203	228647	331762
204	229663	330490
205	230660	329195
206	231766	328055
207	232726	326712
208	233753	325465
209	234755	324185
210	235812	322985
211	236860	321773
212	237811	320430
213	238836	319192
214	239731	317783
215	240557	316288
216	241789	315329
217	242755	314022
218	243724	312724
219	244663	311389
220	245731	310222
221	246830	309093
222	247955	307998
223	249000	306804
224	250007	305564
225	251220	304577
226	252522	303694
227	253483	302400
228	254532	301215
229	255527	299967
230	256348	298517
231	257338	297269
232	258626	296365
233	259831	295364
234	260979	294295
235	262065	293157
236	263145	292013
237	264288	290939
238	265419	289851
239	266541	288753
240	267588	287574
241	268928	286708
242	270102	285663
243	271209	284547
244	272233	283345
245	273540	282436
246	274531	281199
247	275767	280215
248	276911	279135
249	278092	278092
250	279020	276796
251	280142	275695
252	281191	274523
253	281941	273061
254	283086	271984
255	284203	270881
256	285510	269957
257	286484	268718
258	287518	267536
259	288628	266426
260	289442	265044
261	290510	263898
262	291470	262655
263	292526	261500
264	293527	260297
265	294629	259184
266	295517	257885
267	296678	256826
268	297808	255738
269	298803	254536
270	299892	253414
271	301035	252338
272	302168	251254
273	303239	250117
274	304306	248978
275	305328	247802
276	306596	246826
277	308027	245978
278	309217	244935
279	310387	243876
280	311540	242801
281	312919	241902
282	314132	240871
283	315130	239676
284	316298	238611
285	317170	237323
286	318635	236478
287	319722	235351
288	320831	234240
289	321835	233053
290	322918	231924
291	324129	230886
292	325157	229718
293	326484	228761
294	327643	227684
295	328623	226484
296	329799	225418
297	330908	224307
298	332019	223196
299	333093	222062
300	334169	220929
301	334940	219596
302	336079	218507
303	337262	217445
304	338353	216324
305	339559	215276
306	340809	214254
307	341852	213103
308	342974	212000
309	343936	210799
310	344951	209633
311	346106	208551
312	347186	207424
313	348248	206287
314	349274	205129
315	350358	204006
316	351472	202900
317	352618	201813
318	353667	200670
319	354717	199528
320	355917	198471
321	357175	197444
322	358325	196358
323	359491	195279
324	360600	194169
325	361883	193152
326	362644	191857
327	363701	190721
328	364744	189578
329	365890	188488
330	366954	187357
331	368112	186273
332	369076	185092
333	370197	183990
334	371249	182854
335	372259	181698
336	373349	180581
337	374350	179422
338	375333	178255
339	376399	177129
340	377581	176056
341	378649	174931
342	379838	173862
343	380878	172724
344	381997	171622
345	383085	170506
346	384180	169393
347	385253	168271
348	386464	167209
349	387745	166176
350	388929	165101
351	390042	163995
352	390773	162730
353	391942	161648
354	393165	160588
355	394198	159451
356	395276	158332
357	396523	157280
358	397815	156244
359	398833	155101
360	399923	153987
361	401007	152870
362	402121	151764
363	403330	150694
364	404344	149551
365	405393	148422
366	406477	147306
367	407740	146254
368	408889	145161
369	409760	143969
370	410750	142821
371	411625	141634
372	412881	140578
373	414127	139518
374	415400	138466
375	416379	137316
376	417384	136175
377	418527	135080
378	419573	133953
379	420625	132829
380	421644	131694
381	422756	130589
382	423774	129456
383	424955	128372
384	426103	127277
385	427075	126131
386	428028	124979
387	428961	123823
388	430123	122734
389	431553	121720
390	432960	120697
391	434303	119654
392	435255	118504
393	436490	117431
394	437725	116357
395	439203	115346
396	440314	114237
397	441394	113121
398	442662	112052
399	443802	110950
400	444901	109838
401	446000	108726
402	447038	107599
403	448145	106489
404	449190	105365
405	450289	104254
406	451440	103154
407	452411	102014
408	453535	100908
409	454914	99859
410	456163	98780
